项目地址,项目说明(3-5句话),语言
https://github.com/langchain-ai/rag-from-scratch,RAG from Scratch是LangChain官方出品的检索增强生成教程，从零开始讲解RAG系统的构建方法。内容涵盖向量数据库选择、检索策略优化和生成质量评估，适合希望深入理解RAG技术的开发者。,Python
https://github.com/openai/skills,OpenAI Skills是OpenAI官方的Claude技能集合，提供与OpenAI模型和API交互的技能定义。它帮助开发者快速集成OpenAI能力到各种应用场景，包括文本生成、图像处理和代码辅助。,Python
https://github.com/disler/claude-code-hooks-mastery,Claude Code Hooks Mastery是一份深入掌握Claude Code钩子系统的教程，涵盖预提交检查、代码审查和自动化测试等Hooks实践。它帮助开发者通过自定义钩子扩展Claude Code的功能。,TypeScript
https://github.com/ankitects/anki,Anki是一个间隔重复记忆软件，帮助用户高效记忆知识卡片。它支持多种卡片类型和导入导出格式，广泛用于语言学习、医学备考和专业技术记忆。,Python
https://github.com/fish-shell/fish-shell,Fish是一个现代化命令行外壳，提供智能自动补全、语法高亮和脚本编辑功能。它开箱即用的用户体验让命令行操作更加友好，是传统bash的轻量级替代品。,Rust
https://github.com/linshenkx/prompt-optimizer,Prompt Optimizer是一个提示词优化工具，通过AI自动改进提示词以获得更好的输出效果。它提供版本管理和A/B测试功能，帮助开发者迭代优化AI应用的提示词设计。,Python
https://github.com/ZeroTworu/anet,ANet是一个AI网络工具集，提供神经网络模型的可视化和调试能力。它帮助研究者在浏览器中直观地观察模型结构和数据流动，加速深度学习实验的迭代。,Python
https://github.com/DataExpert-io/data-engineer-handbook,Data Engineer Handbook是数据工程师的全面参考手册，涵盖数据管道、仓库建模、流处理和治理等核心主题。它为数据工程从业者提供从理论到实践的系统性指导。,Python
https://github.com/carlvellotti/claude-code-pm-course,Claude Code PM Course是为产品经理设计的AI工具使用教程，帮助产品经理掌握使用AI辅助进行需求分析、原型设计和文档撰写的能力。,Python
https://github.com/cheahjs/free-llm-api-resources,Free LLM API Resources是一个免费大模型API资源汇总，收录了多个免费使用的LLM API接口和调用方法。它帮助开发者在预算有限的情况下也能使用强大的AI能力。,Python
https://github.com/Jeffallan/claude-skills,Claude Skills是一组精选的Claude代码增强技能，专注于提升开发团队的编码效率和质量。它提供代码生成、审查和重构的自动化能力。,Python
https://github.com/cinnyapp/cinny,Cinny是一个开源的Matrix客户端，提供简洁的界面和丰富的功能支持。它支持端到端加密和多种服务器配置，适合作为私有化的即时通讯解决方案。,TypeScript
https://github.com/HandsOnLLM/Hands-On-Large-Language-Models,Hands-On Large Language Models是一份实践导向的LLM学习课程，涵盖模型原理、微调和部署等核心技能。它通过大量代码示例帮助开发者从理论到实操全面掌握大语言模型。,Jupyter Notebook
https://github.com/google-deepmind/superhuman,Superhuman是Google DeepMind发布的超人类AI研究项目，探索AI在复杂推理和决策任务中超越人类表现的可能性。它为AI安全和能力评估提供基准测试工具。,Python
https://github.com/Zipstack/unstract,Unstract是一个无代码文档处理平台，支持从PDF、图片等非结构化文档中提取结构化数据。它提供可视化流程设计器，适合需要处理大量文档的企业场景。,Python
https://github.com/moonshine-ai/moonshine,Moonshine是一个轻量级的大语言模型，专为资源受限环境优化。它提供高效的推理能力和低内存占用，适合在边缘设备上运行AI应用。,Rust
https://github.com/ashishps1/awesome-system-design-resources,Awesome System Design Resources是系统设计学习资源精选，涵盖分布式系统、高可用架构和微服务设计等主题。它为准备技术面试和提升架构能力的开发者提供系统化学习路径。,Python
https://github.com/NirDiamant/RAG_Techniques,RAG Techniques是检索增强生成技术的实现合集，收录了多种RAG优化方法包括CRAG、Fusion和HyDE等。它为RAG系统开发者提供可直接运行的参考实现。,Python
https://github.com/huggingface/skills,Hugging Face Skills是Hugging Face官方的AI技能库，提供模型推理、训练和部署相关的技能定义。它帮助开发者快速构建基于Hugging Face生态的AI应用。,Python
https://github.com/databricks-solutions/ai-dev-kit,AI Dev Kit是Databricks的AI开发工具包，集成Jupyter笔记本、数据处理和模型训练环境。它帮助数据科学家快速原型化AI解决方案并在Databricks平台上部署。,Python
https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering,Agent Skills for Context Engineering是一组专注于上下文工程的AI Agent技能，帮助构建更精准的AI对话应用。它提供上下文管理、记忆检索和意图识别的技能定义。,Python
https://github.com/f/prompts.chat,Prompts.chat是一个提示词分享社区，收集和分享各类AI应用的优质提示词。它帮助用户发现和学习不同场景下的最佳提示词设计。,HTML
https://github.com/mihail911/modern-software-dev-assignments,Modern Software Dev Assignments是一份现代软件开发作业合集，覆盖代码重构、性能优化和架构设计等主题。它帮助开发者通过实战练习提升工程能力。,Python
https://github.com/ruvnet/ruvector,RUVector是一个向量检索工具，提供高效的向量相似度搜索能力。它支持多种距离度量方式，适合构建推荐系统和语义搜索应用。,Go
https://github.com/GVCLab/PersonaLive,PersonaLive是一个AI角色扮演框架，支持创建具有特定性格和知识背景的AI角色。它提供对话管理和情感计算功能，适合构建虚拟助手和互动游戏。,Python
https://github.com/farion1231/cc-switch,CC-Switch是一个Claude Code工具切换器，帮助开发者在不同项目间快速切换开发工具和配置。它提升多项目开发的效率和组织能力。,TypeScript
https://github.com/ruvnet/ruflo,Ruflo是一个AI驱动的内容创作工具，帮助用户生成文章、社交媒体内容和营销文案。它提供多种内容模板和风格定制选项。,Python
https://github.com/NousResearch/hermes-agent,Hermes Agent是NousResearch开发的AI代理框架，专注于复杂任务的规划和执行能力。它提供多步骤推理和工具调用的标准化接口。,Python
https://github.com/NVlabs/GR00T-WholeBodyControl,GR00T-WholeBodyControl是NVIDIA开源的机器人全身控制框架，用于实现类人机器人的运动规划和协调控制。它结合视觉感知和运动控制，支持复杂的机器人操作任务。,Python
https://github.com/microsoft/markitdown,MarkItDown是微软AutoGen团队开源的文档转换工具，支持将PDF、Word、PPT、Excel、图片和音频等20多种格式一键转换为Markdown。它保留文档语义结构，方便AI处理和知识管理。,Python
https://github.com/K-Dense-AI/claude-scientific-skills,Claude Scientific Skills是科学计算专用的Claude技能库，提供134个即用型技能用于数据分析、统计建模和可视化。它帮助科研人员快速完成学术研究中的计算任务。,Python
https://github.com/agentscope-ai/agentscope,AgentScope是一个多智能体开发框架，专注于构建具有协作能力的AI Agent系统。它提供消息传递、任务分配和状态管理的标准化接口。,Python
https://github.com/agentscope-ai/ReMe,ReMe是AgentScope团队开发的记忆管理框架，为AI Agent提供长期记忆和经验积累能力。它支持语义检索和记忆加权，帮助Agent在多轮对话中保持上下文。,Python
https://github.com/LMCache/LMCache,LMCache是一个大模型缓存库，用于加速LLM推理和训练过程。它提供模型权重、KV缓存和中间结果的高效存储管理。,Python
https://github.com/xpzouying/xiaohongshu-mcp,Xiaohongshu MCP是小红书平台的Model Context Protocol服务器实现，允许AI代理访问和操作小红书内容。它为内容分析和自动化发布提供接口支持。,Python
https://github.com/openclaw/clawhub,Clawhub是OpenClaw的技能市场，汇集各种AI Agent技能和工具供用户下载使用。它帮助用户快速扩展AI助手的能力范围。,TypeScript
https://github.com/msitarzewski/agency-agents,Agency Agents是一个AI代理编排框架，支持构建复杂的多智能体协作系统。它提供任务分解、状态同步和结果聚合的完整解决方案。,Python
https://github.com/FujiwaraChoki/MoneyPrinterV2,MoneyPrinterV2是一个自动化内容创作工具，用于批量生成视频、文案和社交媒体内容。它结合AI生成和自动化编排，提升内容生产效率。,Python
https://github.com/ItzCrazyKns/Perplexica,Perplexica是一个开源的AI搜索助手，是Perplexity的直接替代品。它提供网络搜索、来源追踪和即时回答功能，保护用户隐私不收集数据。,TypeScript
https://github.com/FlowiseAI/Flowise,Flowise是一个低代码AI流程构建平台，通过可视化拖拽方式设计LLM应用工作流。它支持自定义节点、变量传递和API部署，适合非技术用户构建AI应用。,TypeScript
https://github.com/TheCraigHewitt/seomachine,SEOMachine是一个AI驱动的SEO分析和优化工具，帮助网站提升搜索引擎排名。它提供关键词研究、内容优化建议和竞争分析功能。,Python
https://github.com/inclusionAI/AReaL,AReaL是一个强化学习研究框架，提供标准化的环境和算法实现。它支持多智能体学习和元学习等前沿研究方向。,Python
https://github.com/QwenLM/Qwen-Agent,Qwen-Agent是阿里通义千问的Agent开发框架，基于Qwen语言模型构建。它提供工具调用、记忆管理和多轮对话等能力，支持构建智能客服和个人助手应用。,Python
https://github.com/Ed1s0nZ/CyberStrikeAI,CyberStrikeAI是一个网络安全AI工具集，提供漏洞扫描、威胁检测和安全评估功能。它结合AI能力自动化发现和防御网络安全威胁。,Python
https://github.com/lingfengqaq/webnovel-writer,Webnovel Writer是一个AI网络小说写作助手，帮助作者生成故事内容、角色对话和情节发展。它提供多种写作风格和题材模板支持。,Python
https://github.com/toeverything/AFFiNE,AFFiNE是一个开源的知识管理和协作文档工具，结合块编辑器和看板视图。它支持Markdown导出、本地存储和数据同步，适合团队知识管理。,TypeScript
https://github.com/koala73/worldmonitor,WorldMonitor是一个全球事件监控系统，实时跟踪和分析国际动态。它为研究人员和决策者提供信息聚合和趋势分析能力。,Python
https://github.com/Raphire/Win11Debloat,Win11Debloat是一个Windows 11系统优化工具，帮助禁用不必要的系统服务和预装应用。它提升系统性能和隐私保护，适合追求简洁系统的用户。,PowerShell
https://github.com/promptfoo/promptfoo,Promptfoo是一个提示词评估和测试框架，用于验证AI应用的提示词质量和一致性。它提供自动化测试、回归检测和性能基准功能。,TypeScript
https://github.com/shanraisshan/claude-code-best-practice,Claude Code Best Practice是Claude Code最佳实践指南，汇集高效使用AI编程助手的技巧和案例。它帮助开发者充分发挥AI辅助编程的潜力。,Markdown
https://github.com/langflow-ai/openrag,OpenRAG是一个开源的检索增强生成平台，支持构建基于私有知识库的问答系统。它提供可视化配置和多种向量数据库集成。,Python
https://github.com/InsForge/InsForge,InsForge是一个AI图像生成和编辑工具，支持多种风格和模特的图像创作。它提供批量处理和自定义模型支持。,Python
https://github.com/vectorize-io/hindsight,Hindsight是一个向量分析工具，用于可视化高维向量空间中的数据分布。它帮助理解嵌入模型的行为和聚类效果。,Python
https://github.com/dolthub/dolt,Dolt是一个Git风格的数据库，支持版本控制和分支操作数据库内容。它让数据库的协作和变更历史追踪像代码一样便捷。,Go
https://github.com/Q00/ouroboros,Ouroboros是一个分布式系统工具库，提供一致性协议和容错机制的实现。它帮助开发者构建高可用的分布式应用。,Go
https://github.com/dimensionalOS/dimos,DimensionalOS是一个边缘计算操作系统，提供容器编排和设备管理能力。它支持在资源受限的边缘设备上运行现代应用。,Rust
https://github.com/SynkraAI/aiox-core,Aiox-core是一个工业物联网核心框架，支持设备连接、数据采集和边缘分析。它适用于制造业的数字化转型场景。,Python
https://github.com/Crosstalk-Solutions/project-nomad,Project Nomad是一个跨平台应用开发框架，支持一次编写多平台运行。它提供原生性能和小体积打包输出。,Dart
https://github.com/sickn33/antigravity-awesome-skills,Antigravity Awesome Skills是Claude技能精选合集，汇集各类提升开发效率的AI技能。它帮助开发者快速找到适合特定场景的AI技能。,Python
https://github.com/langchain-ai/deepagents,DeepAgents是LangChain的深度学习智能体库，提供强化学习和多智能体系统的实现。它支持复杂环境中的决策制定和长期规划。,Python
https://github.com/YishenTu/claudian,Claudian是一个Claude集成工具，提供与各种开发环境和工具的无缝对接。它增强AI在日常开发工作流中的辅助能力。,Python
https://github.com/langchain-ai/open-swe,Open-SWE是LangChain的开源软件工程智能体项目，专注于代码理解和自动化修复。它帮助处理issue分析和代码改动等软件工程任务。,Python
https://github.com/affaan-m/everything-claude-code,Everything Claude Code是Claude Code的全面使用指南，涵盖各种场景和应用案例。它帮助新用户快速上手并深入掌握AI编程助手。,Markdown
https://github.com/andrewyng/context-hub,Context Hub是一个上下文管理平台，帮助组织和检索项目相关的上下文信息。它支持团队共享和增量更新，适合大型软件开发项目。,TypeScript
https://github.com/opendataloader-project/opendataloader-pdf,OpenDataLoader PDF是一个PDF数据提取工具，从PDF文档中提取结构化数据用于分析。它支持批量处理和自定义提取规则。,Python
https://github.com/TauricResearch/TradingAgents,TradingAgents是量化交易智能体系统，结合多Agent协作进行市场分析和策略开发。它提供数据分析、信号生成和风险管理的一体化解决方案。,Python
https://github.com/openrocket/openrocket,OpenRocket是一个开源的火箭仿真和设计工具，支持从概念设计到性能分析的完整流程。它为航天爱好者和学生提供学习火箭工程的教育平台。,Java
https://github.com/systemd/systemd,systemd是Linux系统和服务管理器，负责系统启动、服务管理和日志记录等核心功能。它是大多数现代Linux发行版的基础组件。,C
https://github.com/jamwithai/production-agentic-rag-course,Production Agentic RAG Course是生产级RAG系统的实战课程，从架构设计到部署运维全面讲解。它帮助开发者构建可投入生产的检索增强生成应用。,Python
https://github.com/HKUDS/LightRAG,LightRAG是香港大学开源的轻量级检索增强生成框架，专为资源受限环境优化。它提供高效的检索和生成能力，适合边缘部署场景。,Python
https://github.com/harry0703/MoneyPrinterTurbo,MoneyPrinterTurbo是一个AI驱动的视频创作工具，自动生成配图、配音和字幕的短视频。它用于批量生产营销内容和社交媒体视频。,Python
https://github.com/tinygrad/tinygrad,tinygrad是一个极简深度学习框架，用不到1000行代码实现核心功能。它旨在帮助理解深度学习框架的工作原理，同时保持良好的性能。,Python
https://github.com/jingyaogong/minimind,Minimind是一个轻量级大语言模型实现，从零开始构建简化版的Transformer架构。它帮助学习者理解LLM的内部工作机制。,Python
https://github.com/kepano/obsidian-skills,Obsidian Skills是Obsidian笔记软件的技能扩展，提供知识管理和笔记整理的自动化能力。它帮助用户更好地组织和管理个人知识库。,Python
https://github.com/hesreallyhim/awesome-claude-code,Awesome Claude Code是Claude Code资源精选，汇集教程、插件和使用技巧。它帮助开发者充分利用AI编程助手提升开发效率。,Markdown
https://github.com/pascalorg/editor,Editor Pascal是一个轻量级代码编辑器，提供语法高亮和多语言支持。它适合需要快速编辑代码场景的开发者使用。,Pascal
https://github.com/mvanhorn/last30days-skill,Last30days Skill是一个时间追踪技能，记录和分析过去30天的活动和任务。它帮助用户回顾和规划个人时间使用。,Python
https://github.com/BerriAI/litellm,LiteLLM是一个统一的大语言模型调用接口，支持OpenAI、Anthropic、Google等多家提供商的LLM。它简化多模型切换和成本优化的应用开发。,Python
https://github.com/usestrix/strix,Strix是一个AI辅助开发工具，提供代码补全、重构建议和文档生成功能。它帮助开发者快速完成日常编码任务。,TypeScript
https://github.com/letta-ai/claude-subconscious,Claude Subconscious是Letta开发的潜意识的Claude集成模块，提供深层记忆和隐式偏好管理。它让AI能够学习和适应用户的个性化习惯。,Python
https://github.com/Yeachan-Heo/oh-my-claudecode,Oh My Claude Code是Claude Code的配置管理框架，帮助组织和同步开发环境的AI设置。它提升团队协作和配置复用效率。,Shell
https://github.com/Vaibhavs10/insanely-fast-whisper,Insanely Fast Whisper是Whisper的优化版本，大幅提升语音识别推理速度。它支持实时转录和批量处理，适合需要快速处理音频的应用场景。,Python
https://github.com/datalab-to/chandra,Chandra是一个数据实验室工具集，提供数据清洗、分析和可视化的完整工具链。它帮助数据分析师快速完成从原始数据到洞察的转化。,Python
https://github.com/onyx-dot-app/onyx,Onyx是一个开源的AI助手平台，支持自定义技能和工作流集成。它提供灵活的扩展机制，适合构建企业级AI应用。,TypeScript
https://github.com/manaflow-ai/cmux,CMux是一个并发多路复用工具，优化AI推理的批量处理和资源利用。它帮助降低AI应用的响应延迟和运营成本。,Rust
https://github.com/luongnv89/claude-howto,Claude Howto是Claude使用指南集合，提供各类场景下的最佳实践和解决方案。它帮助用户快速找到使用AI助手的方法。,Markdown
https://github.com/fastfetch-cli/fastfetch,Fastfetch是一个性能信息展示工具，比Neofetch更快更现代。它显示系统信息、硬件状态和运行时数据，用于系统诊断和配置展示。,C
https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp是一个开源编程学习平台，提供从基础到进阶的编程课程和实战项目。它帮助数百万人学习Web开发、数据科学和全栈技能。,JavaScript
https://github.com/sherlock-project/sherlock,Sherlock是一个用户名查找工具，通过社交媒体和网站数据库搜索特定用户的在线存在。它用于数字调查和品牌监控等安全研究场景。,Python
https://github.com/Dimillian/Skills,Skills Dimillian是一个技能资源库，汇集各类AI应用开发和集成的技能指南。它帮助开发者快速掌握AI应用的构建方法。,Python
https://github.com/neovim/neovim,Neovim是一个现代化编辑器，是Vim的升级版本。它提供更好的插件系统、LSP支持和异步操作，让经典编辑器焕发新活力。,Lua
https://github.com/jwasham/coding-interview-university,Coding Interview University是一份成为软件工程师的学习计划，涵盖算法、系统设计和计算机基础。它帮助求职者系统准备技术面试。,Markdown
https://github.com/aaif-goose/goose,Goose是Linux基金会旗下的AI编程代理，支持代码生成、编辑和测试执行。它由Block开源后迁移至Agentic AI Foundation，是增长最快的AI Agent项目之一。,Rust
https://github.com/forrestchang/andrej-karpathy-skills,Andrej Karpathy Skills是学习Karpathy教授AI技能的指南，汇集了他关于神经网络、大模型和自动驾驶的课程资源。它帮助学习者深入理解AI核心概念。,Python
https://github.com/goharbor/harbor,Harbor是一个开源的容器镜像仓库，支持镜像存储、签名扫描和安全扫描。它是企业级容器编排的重要基础设施。,Go
https://github.com/coleam00/Archon,Archon是一个AI驱动的系统管理框架，提供自动化运维和智能监控能力。它简化复杂系统的管理和故障处理。,Python
https://github.com/shiyu-coder/Kronos,Kronos是一个时间序列分析工具，用于处理和预测时间相关数据。它支持异常检测和趋势预测，适合监控和预测分析场景。,Python
https://github.com/multica-ai/multica,Multica是一个多模态AI框架，支持文本、图像和音频的统一处理。它为构建多模态应用提供标准化的开发接口。,Python
https://github.com/Lordog/dive-into-llms,Dive Into LLMs是一份深入学习大语言模型的教程，从理论到实践全面讲解。它帮助开发者和研究人员系统掌握LLM技术。,Python
https://github.com/vercel-labs/open-agents,Open Agents是Vercel开源的AI Agent框架，提供构建和部署智能代理的工具集。它支持多种LLM提供商的集成。,TypeScript
https://github.com/lsdefine/GenericAgent,GenericAgent是一个通用AI代理框架，设计用于处理各种类型的任务。它提供灵活的工具调用和状态管理机制。,Python
https://github.com/google/magika,Magika是Google开源的内容类型检测工具，使用深度学习识别文件格式。它能准确识别超过100种文件类型，适合安全分析和数据处理场景。,Python
https://github.com/Donchitos/Claude-Code-Game-Studios,Claude Code Game Studios是使用Claude Code开发游戏的教程合集。它帮助游戏开发者利用AI加速游戏开发和原型设计。,TypeScript
https://github.com/addyosmani/agent-skills,Agent Skills是addyosmani整理的AI Agent开发技能集合，涵盖最佳实践和实用工具。它帮助开发者构建更可靠的AI代理系统。,JavaScript
